"gene","GSM1932083","GSM1932084","GSM1932085","GSM1932086","GSM1932087","GSM1932088","GSM1932089","GSM1932090"
"ACCS",8.33786662207394,8.69960812202812,8.72656824378006,8.54887152167624,8.60670493268912,8.54593663610452,9.52206394930111,8.92006184236738
"ACCSL",5.8623184479692,5.89206672311112,6.25508880757241,5.58482059867421,5.51312146567479,5.49318678023829,5.48043184323876,5.51177349166691
"ACD",14.2234624988006,14.0763036900557,14.547728378096,13.8686373532101,13.5963900791518,13.3637240741854,13.763644952645,13.787167936061
"ACE",10.0022463734373,9.97644767067239,10.125094000217,9.94784931478743,9.39334107030494,9.36515836219695,9.78801871940986,9.80544898255246
"ACE2",4.51990473424152,4.17725599338146,4.26857205389205,4.88515794327117,4.54152778698346,4.92832147429093,4.38894575482369,5.06781977372176
"ACER1",7.9589869317363,8.30216219138112,8.28528651655414,8.01853781063272,7.87471877477326,7.93643523494248,8.19868851836106,7.93972658499089
"ACER2",8.6089429333659,8.6126498801851,8.76280283897085,8.15815461340518,8.28828140012579,8.1471625798219,8.40852199812204,8.18871779982046
"ACER3",8.2729636725079,8.02107923844977,8.54303522006072,7.85688661310668,8.1841938878498,8.106216803909,7.89401119865647,7.81157043716796
"ACHE",8.54664825107193,8.3229663669409,8.59611921893461,8.13924681440216,8.19025571698237,8.06735572433874,8.45287493555596,8.18720942493484
"ACIN1",11.24346777709,11.3514586565133,11.9018894908824,11.0815817530459,10.0823242822236,9.69979205761353,10.7415257034,10.4179576326929
"ACLY",13.3664560506547,13.1829803570153,14.1040507332271,12.7964908224805,12.7186963320771,12.6185939710839,12.212214469449,12.3563082655217
"ACN9",11.4763379794146,11.5444325843183,11.8778986164235,11.2828947913846,11.1521077773896,11.2329620935445,11.0633207057454,11.4678509091275
"ACO1",12.9299116682117,12.5437741721361,12.9907384042828,12.3205807662028,13.5981943984125,13.3677382127255,13.3981103272266,13.5896745139361
"ACO2",14.2571837469471,14.2860486914617,14.537596359395,13.7289163953166,13.6607958936412,13.4430457969968,13.6059956289411,13.5580845968491
"ACOT1",13.3280198555201,13.2973461529444,13.5043522056188,13.1947811164528,12.4479269661119,12.352816908884,12.952218826945,12.7544720160912
"ACOT11",8.90941154218672,8.99447246560465,9.20654843022223,8.87467120095103,7.11978235451769,6.92560284834116,7.6472855733194,7.5151043395952
"ACOT12",7.63751808252898,7.41644523482418,7.74298694107313,7.64693794780179,7.26839208790032,7.43859791971109,7.24462622238154,7.23830134884536
"ACOT13",13.9478815981929,13.6756670625541,14.4147433440019,13.48236425209,13.2125715698067,13.1840743999279,13.6266535536112,13.3437769547291
"ACOT4",7.09076959888247,7.60802988079971,7.29958974620914,7.31827145357968,8.77114998025393,8.65693562991468,9.06184363066533,8.67342102011302
"ACOT6",4.33846641849137,4.10410421620906,5.48777730938377,4.13379850347757,3.99493709542755,4.66702289789707,4.1982135237332,4.24525141535436
"ACOT7",13.3157764546779,13.4656352320411,13.6551885320863,13.1069603104138,13.3934360007036,13.4072557699332,12.7834983327199,13.0408968265913
"ACOT8",10.9320033373554,10.9130162990311,11.3005800322917,10.716389656778,11.7475697891254,11.5934334594338,11.8556995937647,11.6306492197643
